budget_usd,channel,industry,audience_size,duration_days,country,predicted_roi
15501.73,instagram,services,323293,22,SA,2.2585
8833.68,x,ecommerce,358333,15,SA,2.8837
17186.1,facebook,services,134496,32,LB,1.5625
13977.62,tiktok,services,179200,40,LB,2.1981
1974.13,x,fnb,472581,17,SA,2.5879
19514.88,x,retail,426082,46,SA,2.7925
15246.68,instagram,fnb,207106,39,SA,2.95
15742.68,google,services,121247,12,LB,2.1466
2649.46,facebook,retail,151375,56,SA,2.1293
9062.68,facebook,retail,269658,5,LB,1.987
7478.88,instagram,fnb,283823,40,LB,2.2043
18542.62,x,ecommerce,92885,28,SA,3.448
12912.92,google,services,33850,40,EG,1.9646
16472.96,tiktok,services,248155,47,EG,3.0582
8923.94,instagram,services,398932,42,JO,1.9927
4622.05,facebook,retail,77080,40,JO,1.8956
11136.24,instagram,fnb,204769,50,AE,3.2702
1369.96,facebook,retail,81627,43,EG,1.5935
16569.86,facebook,ecommerce,121825,49,LB,2.3419
12670.12,google,ecommerce,306499,25,JO,2.7929
15185.95,facebook,fnb,143811,14,AE,2.1531
7155.07,facebook,fnb,132629,16,EG,1.4489
19416.89,tiktok,fnb,497836,37,JO,3.5316
17873.11,instagram,ecommerce,87011,33,EG,3.3739
15589.83,tiktok,fnb,95454,7,JO,3.3645
3973.31,facebook,ecommerce,464954,14,LB,2.289
9387.75,instagram,fnb,275553,58,LB,1.8637
971.69,tiktok,services,22458,44,EG,1.6964
3170.36,google,services,213054,46,SA,2.4101
13692.67,tiktok,fnb,283008,14,LB,2.487
14920.77,tiktok,ecommerce,127342,6,EG,3.81
19353.44,tiktok,services,274583,19,LB,3.251
6583.92,instagram,ecommerce,324608,51,JO,2.7193
7472.15,instagram,ecommerce,126053,31,LB,2.5319
9444.16,tiktok,retail,406387,47,SA,2.7543
3870.48,facebook,retail,226933,30,JO,2.2669
2685.44,google,services,481767,30,SA,2.6987
9566.53,google,fnb,44781,37,EG,2.2308
4615.5,instagram,fnb,162794,57,EG,2.3768
13429.3,instagram,retail,360913,27,JO,2.3621
8799.32,instagram,fnb,447562,36,SA,3.5227
16670.3,google,fnb,111626,55,JO,1.855
14035.28,google,fnb,490144,24,SA,4.1152
6316.1,facebook,services,97499,50,JO,1.6259
16661.97,tiktok,services,208645,33,EG,3.0222
16114.81,facebook,fnb,158124,53,LB,1.9384
7810.82,tiktok,retail,212737,29,EG,2.6231
5837.73,instagram,services,451282,38,JO,1.8607
13681.66,instagram,retail,366542,21,LB,2.6978
2881.07,tiktok,fnb,398436,39,JO,2.2899
4078.17,instagram,fnb,127745,21,LB,2.1698
246.51,instagram,retail,473499,37,JO,1.9256
15759.8,google,fnb,218333,47,EG,2.5766
13330.53,x,fnb,326329,27,LB,1.6368
14132.79,facebook,ecommerce,349162,27,EG,2.7197
15636.51,instagram,ecommerce,331797,21,LB,3.2671
9232.42,x,retail,301296,44,SA,2.2264
11417.95,tiktok,services,240535,36,JO,2.366
2881.96,instagram,services,324172,32,AE,2.8859
2379.15,tiktok,fnb,452687,4,LB,2.3818
13401.22,facebook,fnb,195497,9,SA,2.6327
9474.81,facebook,ecommerce,255927,3,AE,3.2656
11348.2,google,fnb,90857,51,LB,2.316
15323.48,tiktok,retail,178174,51,SA,2.7732
12730.89,google,fnb,386251,6,AE,3.3634
11116.23,instagram,fnb,320547,5,LB,2.0696
11228.22,x,fnb,106361,47,AE,2.7954
6148.61,tiktok,retail,273523,32,LB,2.3329
713.27,google,retail,406168,20,JO,1.8085
8790.68,facebook,ecommerce,62885,38,JO,2.2201
4370.23,facebook,retail,31912,16,AE,2.044
8229.72,google,services,196969,14,JO,1.8623
17082.72,x,services,328617,23,SA,2.1143
4755.4,x,services,157349,54,JO,1.2762
1260.22,instagram,ecommerce,410695,46,LB,2.5956
5699.54,facebook,retail,423570,13,AE,2.5686
5942.52,x,fnb,266727,35,EG,2.1552
13272.14,google,retail,190042,53,AE,2.568
11184.94,instagram,services,21816,57,JO,1.9277
15699.57,google,services,410956,46,SA,2.5085
13319.84,x,ecommerce,447745,10,SA,3.1278
8187.1,instagram,fnb,221752,16,SA,3.4593
16299.01,google,retail,258717,15,EG,3.2601
3422.76,google,ecommerce,376996,11,LB,2.6158
551.97,tiktok,services,347990,12,EG,2.0157
1891.95,google,ecommerce,68505,21,EG,2.6265
14474.95,instagram,fnb,336483,34,JO,3.4183
9291.36,x,fnb,462400,25,JO,1.7452
3309.31,x,fnb,375592,26,EG,1.8543
10070.79,x,services,240799,17,SA,2.3183
3131.01,google,retail,262057,11,SA,2.5972
13956.78,facebook,ecommerce,130639,59,AE,2.8534
8978.51,instagram,retail,330718,37,JO,1.9759
7682.32,tiktok,fnb,121503,16,AE,4.3527
6100.09,x,fnb,171587,49,SA,1.9414
12642.62,tiktok,services,133273,50,LB,2.0569
7300.07,tiktok,services,168324,58,AE,3.1978
1844.23,facebook,ecommerce,183995,12,AE,2.9209
2448.32,google,ecommerce,42405,39,SA,2.4607
19241.76,instagram,retail,359042,58,SA,2.5204
18180.76,facebook,retail,221055,48,EG,2.058
14024.17,x,ecommerce,474851,15,SA,2.9124
5390.81,facebook,fnb,91261,53,LB,1.7944
19386.61,facebook,retail,334849,27,SA,2.4828
15597.14,facebook,ecommerce,90414,30,LB,2.5338
14366.11,tiktok,services,274035,34,JO,2.5553
