budget,platform,content_type,audience_size,posting_hour,sentiment_score,holiday_flag,region,engagement_rate,roi
725.16,tiktok,story,10911,15,0.603,0,Egypt,0.0564,2.657
705.88,facebook,image,2981,23,0.388,0,UAE,0.0218,1.443
390.13,tiktok,carousel,12840,18,0.477,0,Egypt,0.101,2.428
481.93,tiktok,reel,6992,16,-0.2,0,Saudi Arabia,0.0885,4.794
138.84,instagram,image,4150,18,0.925,0,Lebanon,0.0651,3.669
56.38,twitter,image,3449,10,0.087,1,Lebanon,0.0237,1.482
461.77,tiktok,story,153114,15,0.359,0,Egypt,0.0611,2.138
540.01,tiktok,image,6064,22,0.599,0,Lebanon,0.0838,3.161
1197.92,instagram,video,1631,15,-0.045,0,Saudi Arabia,0.0713,2.888
1659.38,facebook,video,3759,15,0.109,1,Jordan,0.0346,1.409
1657.39,instagram,image,7656,23,0.363,0,Lebanon,0.0621,2.535
164.31,twitter,reel,14784,23,1.0,0,Lebanon,0.0293,1.754
293.82,facebook,reel,14917,20,0.405,0,Jordan,0.0309,1.435
621.6,tiktok,video,17056,16,0.862,1,Saudi Arabia,0.1045,8.029
3939.13,facebook,reel,3986,17,0.722,1,Lebanon,0.0318,1.513
1528.57,instagram,image,11783,15,0.429,0,Egypt,0.0333,1.997
1104.84,facebook,image,3091,14,-0.046,1,Egypt,0.0245,0.748
284.57,instagram,carousel,4098,14,0.671,0,Saudi Arabia,0.0477,2.919
182.2,tiktok,story,2952,16,-0.224,0,Saudi Arabia,0.0713,6.842
820.58,facebook,image,2192,14,0.86,0,UAE,0.0266,2.153
149.82,tiktok,image,26124,12,0.37,0,Lebanon,0.071,2.216
325.51,instagram,video,17282,19,-0.628,0,Saudi Arabia,0.0369,1.858
363.83,twitter,reel,23726,19,0.181,1,UAE,0.0294,1.679
1691.92,tiktok,image,8461,23,0.529,1,Saudi Arabia,0.089,7.945
293.18,tiktok,video,19043,15,0.217,0,Egypt,0.0839,3.02
50.0,instagram,reel,1167,19,0.55,0,Lebanon,0.1015,4.96
635.24,facebook,video,20939,19,0.002,0,Saudi Arabia,0.0273,2.037
215.05,instagram,image,9846,17,-0.157,0,UAE,0.0392,2.496
419.21,instagram,image,16152,21,0.275,1,Egypt,0.0637,3.602
373.14,tiktok,video,12308,21,0.311,0,UAE,0.1097,7.842
315.34,tiktok,video,2735,19,0.178,0,Saudi Arabia,0.1184,6.276
821.64,twitter,reel,1559,17,0.73,0,Saudi Arabia,0.0248,1.932
